App_Name,Review,Platforms,Link,Age_Rating,Date_Published
Delicious World,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/delicious-world,8,2021-04-19
Zigazoo,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/zigazoo,5,2020-06-12
Lessons in Herstory,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/lessons-in-herstory,8,2020-06-11
The Explorers,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-explorers,10,2020-06-09
Chipper: College Daily Planner,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/chipper-college-daily-planner,13,2021-01-18
Run Boggo Run!,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/run-boggo-run,8,2021-01-15
K-5 Science for Kids - Tappity,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/k-5-science-for-kids-tappity,5,2021-01-15
Frog - What's Up Friend,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/frog-whats-up-friend,15,2021-01-08
Totally Reliable Delivery Service,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/totally-reliable-delivery-service,8,2021-03-26
Reach Across the Stars,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/reach-across-the-stars,8,2021-03-25
Oh My Homework,2,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/oh-my-homework,12,2021-03-23
Gordon Ramsay's Chef Blast,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/gordon-ramsays-chef-blast,8,2021-02-19
Marvel Realm of Champions,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/marvel-realm-of-champions,10,2021-02-12
Friendspire: Movies TV Book‪s,4,"iPhone, iPod Touch, iPad, Mac, Android",https://www.commonsensemedia.org/app-reviews/friendspire-movies-tv-books,16,2021-02-10
Krystopia: A Puzzle Journey,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/krystopia-a-puzzle-journey,10,2020-08-14
Randonautica,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/randonautica,14,2020-08-10
The Famous Five Adventure Game,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-famous-five-adventure-game,7,2020-01-30
Skillshare - Online Learning,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/skillshare-online-learning,14,2019-11-23
Math 8: Talk math with Leon!,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/math-8-talk-math-with-leon,7,2019-11-08
Quibi: New Episodes Daily,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/quibi-new-episodes-daily,16,2020-04-08
Shop Titans: Craft & Build,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/shop-titans-craft-build,8,2019-10-25
Monkeynauts: Merge Monkeys,1,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/monkeynauts-merge-monkeys,8,2019-10-10
Atlas Co,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/atlas-co,13,2020-05-23
Le Havre: The Inland Port,2,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/le-havre-the-inland-port,10,2020-05-23
I Want To Go To Mars,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/i-want-to-go-to-mars,4,2020-05-22
Tayasui Tangram,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/tayasui-tangram,4,2020-04-24
Risk: Global Domination,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/risk-global-domination,12,2020-04-21
Facebook Gaming,3,Android,https://www.commonsensemedia.org/app-reviews/facebook-gaming,16,2020-04-20
Dead by Daylight Mobile,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/dead-by-daylight-mobile,18,2020-04-17
while True: learn(),3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/while-true-learn,13,2019-12-12
The Jump App,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-jump-app,15,2020-11-16
Sloth World - Play & Learn!,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/sloth-world-play-learn,4,2020-11-13
Overloot,1,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/overloot,10,2020-09-11
DoodleLens,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/doodlelens,7,2019-09-29
Quick Brain - Math Riddles,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/quick-brain-math-riddles,8,2020-03-13
Note Rush: Music Reading Game,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/note-rush-music-reading-game,9,2020-03-13
Jazza's Arty Games,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/jazzas-arty-games,9,2020-03-13
Reason Compact - Make Music,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/reason-compact-make-music,13,2020-02-21
My AR Puppy,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/my-ar-puppy,4,2020-02-21
Yee - Group Video Chat,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/yee-group-video-chat,18,2020-05-10
Sticky Terms,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/sticky-terms,10,2020-05-08
The Academy: The First Riddle,2,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-academy-the-first-riddle,13,2020-07-03
Abound Parenting,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/abound-parenting,3,2020-07-02
